,Team,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year
162,Harvard,0.32,101.3,100.9,66.0,-0.081,-1.7,104.0,105.7,-2.85,2023
163,Ball St,0.22,108.1,107.9,67.6,0.019,-3.41,104.9,108.3,-3.99,2023
164,Sttson,0.2,113.7,113.5,64.7,0.034,-0.63,105.7,106.3,6.39,2023
165,South Dakota St,0.18,105.2,105.0,66.6,0.066,-1.74,105.1,106.8,8.66,2023
166,Georgia Tech,0.16,104.3,104.1,66.7,-0.003,4.41,108.7,104.3,-2.95,2023
167,Notre Dame,0.0,108.8,108.8,64.9,-0.066,3.19,107.6,104.4,-3.77,2023
168,Eastern Kentucky,-0.05,103.4,103.4,70.2,0.072,-1.14,105.1,106.2,2.78,2023
169,Texas A&M Corpus Chris ,-0.23,107.4,107.6,69.3,0.019,-9.07,101.2,110.2,1.44,2023
170,Longwood,-0.26,104.3,104.5,66.0,-0.032,-7.29,101.9,109.2,-8.01,2023
171,Boston College,-0.45,102.6,103.0,66.6,0.09,3.85,108.1,104.2,-4.37,2023
172,Louisiana Tech,-0.48,105.4,105.9,66.6,-0.028,2.4,106.1,103.7,0.74,2023
173,Old Dominion,-0.61,103.2,103.8,65.0,0.099,-0.59,104.3,104.9,-1.54,2023
174,Grambling St,-0.65,100.1,100.8,66.3,0.09,-8.77,98.9,107.7,4.02,2023
175,East Carolina,-0.72,103.4,104.1,67.5,0.036,0.85,105.6,104.8,-8.54,2023
